NAME OF FACILITY,STAR RATING,TYPE OF FACILITY,OWNERSHIP,REG,YEAR,COU,SOURCE TAB,SN
MSANGANI DISPENSARY,1,,,,,,PWANI,
NYUMBU,1,,,,,,PWANI,22
AAR CHATO,2,HEALTH CENTRES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),10
AAR SINZA,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),38
AAR TEGETA,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),67
AAR WAZO,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),140
ACCESS,0,,,,,,PWANI,
AFYA CARE MANZESE,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),111
AFYA CARE SINZA,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),28
AGHA KHAN,1,HEALTH CENTRES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),12
AHEMS DISPENSARY,0,,,,,,PWANI,
AIF HUDUMA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),133
AKSANTE NYERERE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
AMEN,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),42
ANTONIO VERNA,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),59
ARAFA DISPENSARY,0,,,,,,PWANI,
ARAFA BOKO,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),142
ARAFA CHARITABLE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),126
ARAFA HURUMA,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),52
ARAFA IKWIRIRI,1,,,,,,PWANI,
ARAFA KILINDONI,0,,,,,,PWANI,
ARAFA KIPARANG'ANDA,0,,,,,,PWANI,
ARAFA KONA,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),12
ARAFA MBEZI,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),13
